1010 AAAAABBBBAAAA
00 AAAAAA
01001110 AAAABAAABBBBBBAAAAAAA
1100110 BBAABABBA
01001 ABBBAB
011010111010100001100100010011011110110101001111001011001101000011001110000100101001000100011011110001111110111101011000100110010011001 AAABBBABAABAAAABBAAAAAABABBAAAAAABABAAAAABBAAAABAAABBABBBBABAABABAABABABAABAABAABBBBBBAABAABAABABBBAAAAABBBBBABBBABAABAABBAABBAABAAABAA
0010011101111000010100110011011010010001011011111100101010111011011011110001000101101110010010010011001000111001010001111111 BAABAAABABABBAAAABBAABBAABBBBABBAABBABBBBBBAAABBBBBABBABAABABABAABBBAABAABABBBBBBBBBBBABABABABAAABBAAABBAABAABBBBABBABAAABAAABAA
111000010010001100010001011000000100001010100000111111011110110001101 BABABAABAABBBAAAAABAAAABBBBBAABBAAAAABBABBBABBBAAABBBAAAAABBBAABABAAAABABAABBAAAABABBBAABAABABBAAABAABAAABAAAAABAAAAAABAAABABAAB
010001001001111001101010001100100000000110001101101111101011001001000110001010011010 AAAAAAAAAAAAAAAAAAAABAAAAAAABAAAAAAAAAAAAAAAAAAABBBAAAABBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBAAAAAAAAAAAAAAAAAAAABBBBBBBAABBAAAAAAAAAAAAAAAAABBBBBAAAAAAAAAAAAABBBBBBBBBBAAAAAAAAAAAAAAAAABBAAAAAAAAAAAABBBBBBBBBBAAAAAAAAAAAAAAAAAABBBAAAAAAAAAAAAAAAAAAAAABBAAAAAABBBAA
01000110110100001111101101010110011100000000101100001010111001 BBAAAAABBBABBBBBAABAABAAAAAABBAAABABABBBBABBBABAABBAAAABABBBAB
0000111010001011110101000110100000010111101011110010010111000011111111101110101101100011110010001010101001011100101101011011 ABBAAAAAABAABABABABBABABBBAAAAABAAABABAAAAAABAAAABBAAABBBBBBAAABBAAABBBBBBAABBABAAAAABABABBBBAABABBBABAAABAABAABAABBAABABAAAABABBABAABAAAABBBBBBAAAABBAABABBAAAABBBBAAABBAABAAABABBBBAAAABAABABAABABABAABAAAAABAAAABABAABBBBBABBBBABABBAABBB
01101100000010010111010111000111111111110000100011000101110010010000011000100001111011110010001110010001110111011000111101001001110111010 AAAAAAABAAAAAAABBAABBABBABAABABBBBABBBBAAAAAABAAABABABBBAAAAAABBABABBABBBABABAAAAABBBABABBAAABABABABBAAAABAAAABBAABABABBBAABAABABBBBAABBABAAABABAAB
011110011110011010000 AAAABAAAABBBBBAAAAAAAAAAAABBBBBBBBBBBBAAAAAABBBBBBBAAAABBBBBBAAAAAAAAAAAAA
00110000111110111110000001000011111111001011100001001100011101001001010110111100111100011000000110011000100110111010101001101 BAAAAAAAAAAAAABAABBAAABAAABBABBAAABAABBBBBBBAABAABBBBBABBAAABABABBBABBAABABAABABBAABBAAAAABBAABAABABABBBABBBABBBABABABBABAABBABBAB
0 A
