1: ([37.440670, -122.341153], [37.658523, -122.104640])
2: ([37.668876, -122.323858], [37.804145, -122.345826])
3: ([37.812087, -122.068213], [37.771135, -122.187455])
4: ([37.668035, -122.094081], [37.448828, -122.223481])
5: ([37.445064, -122.087933], [37.694296, -122.023346])
6: ([37.730456, -122.230137], [37.626026, -122.230225])
7: ([37.534572, -122.267887], [37.423667, -122.216782])
8: ([37.692908, -122.355374], [37.620972, -122.338940])
9: ([37.732106, -122.165779], [37.700649, -122.083635])
10: ([37.453614, -122.193160], [37.498217, -122.163962])
11: ([37.643839, -122.280068], [37.776350, -122.269080])
12: ([37.709196, -122.185853], [37.572855, -122.054807])
13: ([37.712216, -122.162425], [37.821736, -122.209027])
14: ([37.621559, -122.261420], [37.604423, -122.133352])
15: ([37.440595, -122.233243], [37.693173, -122.068166])
