1010 AAAAABBBBAAAA
00 AAAAAA
01001110 AAAABAAABBBBBBAAAAAAA
1100110 BBAABABBA
000011100011010010001100011100011001100011011011100001001010 AAAAAAAAAAAAABAAABBBBAAAAAAAAAAAAAAAAABBBBBBAAAAABBBBBBAAAAAAABBBBBBAAAAAAAAAABAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBBAAAAAAAAAAAAAAABBBAAAAAAAAAAABBBAAAAAAAAAAAAABBBBBBBBAAAAABBABBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBAAA
00000101100001110111001100010100100011101111001010111101110111000111011111010010110011000010100001 AAAAAAAAAAAAAAAAAAAAAABBBAAAABBBBBBBBBBBAAAAAAAAAAAABBBBBBBBBAAAAAAABBBBBBBBBAAAAAAAAAAAAAAAAABBBBBBAAAAAAAAAABBBBBAAAAAAAABBBBAAAAAAAAAAAAAABBBBBAAAAAAAAAAAAAABBAAAAAAAAAABBBABBBBBBAAAAAAAAAAAAAAAAAAAAAAABBBBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBBBBBAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBBBBBBAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBAAAAAAAAAAAAAAAAAAAABBB
100000110001111110101000110000001100101111011011100101001101110001111011110100111000 AAAAAAAAAAAABBBAAAAAAAAAAAAAAAABBBBBBBBBBBBAABBAAAAAAAAAAAAAAAAABBBBBAAAAAAAAAAAAAABBBBAAAAAAABBBAAAAAAAAAAAAAAAABBBBAAAAABBBBAAAAAAAAAAABBAAAAAAAAAAAABBBBBAAAAAAAAAAAAAAAAAABBBAAAAABBBBBBAAAAAAAAAABBBBBBAAABBBBBAAAAAAAAAAAAAAAABBBBBAAABBBBBBAAAAAAAAABBBBAAAAAAAAAAAAAAAAAAAAAA
1000100001010111110110111101101111110110100111011101010 AAAAAAAAAAAAAAAABBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBBBBBBAAAAAAAAAAAABBBBAAAAABBBBBBBBBBBBBBAAAAABBBBAABBBBBABBBBBBBBAAAAABBBBBAAAABBBBBBBAAAABBBBAAAAAAAAAAAAAAAABBBBBBAAAAAAAAAAAABBBAAAABBAAAAAAAA
11101100101111100110010110011101000 AAAAAAAAABBAAAAABBBAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBBBBBBAAAAAAAAAAAABAAAAAABBBBBBBAAAAAAAAAAAAAABAAAAAAABBAAAAAAA
10111100111100011111111 ABAAAABABAABABBABBBAAABAABBABABBBAABBBBBBAABBBAAABBAABBBBBBAABAAAAABAABBABBABAABBABAABBABAAAABBBABBAABAABAABAAABABABBAAABBBBBAA
1001000101010001100111 AAAAAAABAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBAAAAAAAAAABBBBAAAAAAAAA
